DeliveryYear,Day,Hour,Fuel,OutputQuality,Output
2020,2020-01-02,13,NUCLEAR,0,11689
2020,2020-01-02,13,GAS,-1,406
2020,2020-01-02,13,HYDRO,0,3766
2020,2020-01-02,13,WIND,0,2536
2020,2020-01-02,13,SOLAR,0,174
2020,2020-01-02,13,BIOFUEL,0,51
2020,2020-01-02,14,NUCLEAR,0,11690
2020,2020-01-02,14,GAS,-1,502
2020,2020-01-02,14,HYDRO,0,3668
2020,2020-01-02,14,WIND,0,3139
2020,2020-01-02,14,SOLAR,0,87
2020,2020-01-02,14,BIOFUEL,0,53
2020,2020-01-02,15,NUCLEAR,0,11691
2020,2020-01-02,15,GAS,-1,404
2020,2020-01-02,15,HYDRO,0,3704
2020,2020-01-02,15,WIND,0,3186
2020,2020-01-02,15,SOLAR,0,58
2020,2020-01-02,15,BIOFUEL,0,49
2020,2020-01-02,16,NUCLEAR,0,11691
2020,2020-01-02,16,GAS,-1,501
2020,2020-01-02,16,HYDRO,0,3810
2020,2020-01-02,16,WIND,0,3017
2020,2020-01-02,16,SOLAR,0,25
2020,2020-01-02,16,BIOFUEL,0,40
2020,2020-01-02,17,NUCLEAR,0,11684
2020,2020-01-02,17,GAS,-1,301
2020,2020-01-02,17,HYDRO,0,3770
2020,2020-01-02,17,WIND,0,3223
2020,2020-01-02,17,SOLAR,0,7
2020,2020-01-02,17,BIOFUEL,0,35
2020,2020-01-02,18,NUCLEAR,0,11681
2020,2020-01-02,18,GAS,-1,272
2020,2020-01-02,18,HYDRO,0,4089
2020,2020-01-02,18,WIND,0,3546
2020,2020-01-02,18,SOLAR,0,0
2020,2020-01-02,18,BIOFUEL,0,35
2020,2020-01-02,19,NUCLEAR,0,11682
2020,2020-01-02,19,GAS,-1,238
2020,2020-01-02,19,HYDRO,0,4084
2020,2020-01-02,19,WIND,0,3599
2020,2020-01-02,19,SOLAR,0,0
2020,2020-01-02,19,BIOFUEL,0,35
2020,2020-01-02,20,NUCLEAR,0,11678
2020,2020-01-02,20,GAS,-1,233
2020,2020-01-02,20,HYDRO,0,3986
2020,2020-01-02,20,WIND,0,3497
2020,2020-01-02,20,SOLAR,0,0
2020,2020-01-02,20,BIOFUEL,0,35
2020,2020-01-02,21,NUCLEAR,0,11677
2020,2020-01-02,21,GAS,-1,233
2020,2020-01-02,21,HYDRO,0,3712
2020,2020-01-02,21,WIND,0,3346
2020,2020-01-02,21,SOLAR,0,0
2020,2020-01-02,21,BIOFUEL,0,35
2020,2020-01-02,22,NUCLEAR,0,11673
2020,2020-01-02,22,GAS,-1,233
2020,2020-01-02,22,HYDRO,0,3706
2020,2020-01-02,22,WIND,0,2945
2020,2020-01-02,22,SOLAR,0,0
2020,2020-01-02,22,BIOFUEL,0,34
2020,2020-01-02,23,NUCLEAR,0,11682
2020,2020-01-02,23,GAS,-1,232
2020,2020-01-02,23,HYDRO,0,3520
2020,2020-01-02,23,WIND,0,2748
2020,2020-01-02,23,SOLAR,0,0
2020,2020-01-02,23,BIOFUEL,0,34
2020,2020-01-02,24,NUCLEAR,0,11689
2020,2020-01-02,24,GAS,-1,232
2020,2020-01-02,24,HYDRO,0,3165
2020,2020-01-02,24,WIND,0,2162
2020,2020-01-02,24,SOLAR,0,0
2020,2020-01-02,24,BIOFUEL,0,27
2020,2020-01-03,1,NUCLEAR,0,11681
2020,2020-01-03,1,GAS,-1,230
2020,2020-01-03,1,HYDRO,0,3003
2020,2020-01-03,1,WIND,0,1462
2020,2020-01-03,1,SOLAR,0,0
2020,2020-01-03,1,BIOFUEL,0,21
2020,2020-01-03,2,NUCLEAR,0,11683
2020,2020-01-03,2,GAS,-1,235
2020,2020-01-03,2,HYDRO,0,3042
2020,2020-01-03,2,WIND,0,1208
2020,2020-01-03,2,SOLAR,0,0
2020,2020-01-03,2,BIOFUEL,0,18
2020,2020-01-03,3,NUCLEAR,0,11679
2020,2020-01-03,3,GAS,-1,234
2020,2020-01-03,3,HYDRO,0,3091
2020,2020-01-03,3,WIND,0,851
2020,2020-01-03,3,SOLAR,0,0
2020,2020-01-03,3,BIOFUEL,0,18
2020,2020-01-03,4,NUCLEAR,0,11681
